更新时间: 2026-04-20 16:28:57（北京时间）

更新时间,#genre#
2026-04-20 16:28:57,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

CCTV16,http://58.62.234.243:10000/rtp/239.77.0.165:5146$广东电信
CCTV17,http://183.30.202.85:8000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://220.192.130.71:8002/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://221.232.40.13:8888/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://58.62.234.243:10000/rtp/239.77.0.198:5146$广东电信
CCTV4K,http://183.30.202.85:8000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://183.30.202.85:8000/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://221.232.40.13:8888/rtp/239.69.1.12:9712$湖北电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.1.180:5146$广东电信
兵器科技,http://183.30.202.85:8000/rtp/239.253.43.18:5146$广东电信
兵器科技,http://221.232.40.13:8888/rtp/239.69.1.79:10114$湖北电信
兵器科技,http://58.62.234.243:10000/rtp/239.253.43.18:5146$广东电信
风云音乐,http://183.30.202.85:8000/rtp/239.253.43.29:5146$广东电信
风云音乐,http://58.62.234.243:10000/rtp/239.253.43.29:5146$广东电信
风云足球,http://183.30.202.85:8000/rtp/239.253.43.14:5146$广东电信
风云足球,http://221.232.40.13:8888/rtp/239.69.1.81:10126$湖北电信
风云足球,http://58.62.234.243:10000/rtp/239.253.43.14:5146$广东电信
风云剧场,http://183.30.202.85:8000/rtp/239.253.43.26:5146$广东电信
风云剧场,http://58.62.234.243:10000/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://183.30.202.85:8000/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://58.62.234.243:10000/rtp/239.253.43.5:5146$广东电信
第一剧场,http://183.30.202.85:8000/rtp/239.253.43.15:5146$广东电信
第一剧场,http://221.232.40.13:8888/rtp/239.69.1.74:10084$湖北电信
第一剧场,http://58.62.234.243:10000/rtp/239.253.43.15:5146$广东电信
女性时尚,http://183.30.202.85:8000/rtp/239.253.43.8:5146$广东电信
女性时尚,http://58.62.234.243:10000/rtp/239.253.43.8:5146$广东电信
世界地理,http://183.30.202.85:8000/rtp/239.253.43.7:5146$广东电信
世界地理,http://221.232.40.13:8888/rtp/239.69.1.91:10186$湖北电信
世界地理,http://58.62.234.243:10000/rtp/239.253.43.7:5146$广东电信
央视台球,http://183.30.202.85:8000/rtp/239.253.43.11:5146$广东电信
央视台球,http://221.232.40.13:8888/rtp/239.69.1.98:10224$湖北电信
央视台球,http://58.62.234.243:10000/rtp/239.253.43.11:5146$广东电信
高尔夫网球,http://183.30.202.85:8000/rtp/239.253.43.22:5146$广东电信
高尔夫网球,http://221.232.40.13:8888/rtp/239.69.1.83:10138$湖北电信
高尔夫网球,http://58.62.234.243:10000/rtp/239.253.43.22:5146$广东电信
央视文化精品,http://183.30.202.85:8000/rtp/239.253.43.27:5146$广东电信
央视文化精品,http://58.62.234.243:10000/rtp/239.253.43.27:5146$广东电信
卫生健康,http://183.30.202.85:8000/rtp/239.77.0.212:5146$广东电信
卫生健康,http://58.62.234.243:10000/rtp/239.77.0.212:5146$广东电信
电视指南,http://183.30.202.85:8000/rtp/239.253.43.19:5146$广东电信
电视指南,http://58.62.234.243:10000/rtp/239.253.43.19:5146$广东电信
中学生,http://183.30.202.85:8000/rtp/239.77.1.195:5146$广东电信
中学生,http://220.192.130.71:8002/rtp/225.0.4.184:7980$重庆市联通
中学生,http://58.62.234.243:10000/rtp/239.77.1.195:5146$广东电信
发现之旅,http://183.30.202.85:8000/rtp/239.77.1.112:5146$广东电信
发现之旅,http://58.62.234.243:10000/rtp/239.77.1.112:5146$广东电信
书法频道,http://183.30.202.85:8000/rtp/239.77.1.115:5146$广东电信
书法频道,http://58.62.234.243:10000/rtp/239.77.1.115:5146$广东电信
国学频道,http://183.30.202.85:8000/rtp/239.77.0.226:5146$广东电信
国学频道,http://58.62.234.243:10000/rtp/239.77.0.226:5146$广东电信
环球奇观,http://183.30.202.85:8000/rtp/239.77.1.198:5146$广东电信
环球奇观,http://58.62.234.243:10000/rtp/239.77.1.198:5146$广东电信

卫视频道,#genre#
湖南卫视,http://183.30.202.85:8000/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://183.30.202.85:8000/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://220.192.130.71:8002/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://220.192.130.71:8002/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://221.232.40.13:8888/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://58.62.234.243:10000/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://58.62.234.243:10000/rtp/239.77.0.56:5146$广东电信
浙江卫视,http://183.30.202.85:8000/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://183.30.202.85:8000/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://220.192.130.71:8002/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://220.192.130.71:8002/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://221.232.40.13:8888/rtp/239.254.96.143:8932$湖北电信
